Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
1352,ADD Brazilian Chamber of Deputies Open Data API,624,True,True,2021-05-01T02:35:09Z,2021-05-01T02:35:09Z,1,4,2,1,1,0,1,21204725.0
3480,Add Kite API,514,True,False,,2023-04-01T07:57:12Z,1,2,1,1,1,0,1,0
3092,Add Owen Wilson Wow to Video,521,True,True,2022-03-13T00:55:27Z,2022-03-13T00:55:27Z,1,3,1,1,1,0,1,260431.0
3450,Complete API link of What3Words,514,True,False,,2023-03-16T19:52:26Z,0,1,1,1,1,1,2,0
3435,Add AskEdith API,564,True,False,,2023-03-16T19:50:45Z,0,1,0,1,1,0,1,0
3460,Add NLP-API to Text Analysis,514,True,False,,2023-03-13T10:55:50Z,0,1,0,1,1,0,1,0
3449,added   URL Summarization APIs,514,True,False,,2023-03-13T13:59:23Z,0,1,0,1,14,0,14,0
3459,Add NLP-API to Text Analysis,514,True,False,,2023-03-10T14:15:07Z,0,1,0,1,1,0,1,0
3369,Add quokka.pics API,514,True,False,,2023-03-08T21:13:41Z,0,1,0,1,1,0,1,0
3454,Add kisi-missi to Contributors list,514,True,False,,2023-03-05T23:20:45Z,0,1,0,1,1,0,1,0
3428,Update README.md,125,True,False,,2023-02-22T14:08:24Z,0,1,0,1,1,1,2,0
3410,Update README.md,79,True,False,,2023-02-21T08:32:00Z,1,2,0,1,1,1,2,0
3438,Update,514,True,False,,2023-02-15T23:47:00Z,0,1,1,10,13,112,125,0
3290,I did remove all the broken links ,514,True,False,,2023-02-11T13:02:59Z,0,3,2,1,0,25,25,0
3368,Update README.md,576,True,False,,2023-01-25T05:48:56Z,0,1,1,1,7,7,14,0
3422,Add Yomi API,514,True,False,,2023-01-23T17:40:03Z,0,1,0,1,1,0,1,0
3364,Update README.md,590,True,False,,2023-01-18T10:08:29Z,0,1,0,1,1,1,2,0
3417,Delete test_of_push_and_pull.yml,514,True,False,,2023-01-17T13:20:55Z,0,1,0,1,0,37,37,0
3361,Add Better Call Saul Quotes API,559,True,False,,2023-01-04T00:53:57Z,0,1,0,1,1,0,1,0
3373,add YouTube Music API,514,True,False,,2022-12-24T09:23:05Z,0,1,0,1,1,0,1,0
3379,Updated Excuser API Link,514,True,False,,2022-12-19T05:38:46Z,0,1,0,1,1,1,2,0
3372,updated link of Excuser API,649,True,False,,2022-12-13T15:55:55Z,0,1,0,1,1,1,2,0
3300,Add Meme API scraped from reddit,567,True,False,,2022-12-03T21:39:57Z,0,2,1,1,1,0,1,0
3306,Add DynamicDocs API,514,True,False,,2022-11-23T12:52:53Z,0,2,1,1,1,0,1,0
3342,Fixed Chuck Norris Broken Link in Games section,514,True,False,,2022-11-16T12:32:32Z,1,2,0,1,1,1,2,0
3292,Add Zirra API,514,True,False,,2022-11-12T15:05:03Z,0,2,1,1,1,0,1,0
3325,Remove Base API,604,True,False,,2022-10-31T00:37:00Z,0,2,1,1,0,1,1,0
3289,Changed NASA Authentication to apiKey,578,True,False,,2022-10-22T07:25:27Z,0,2,1,1,1,1,2,0
3313,test,514,True,False,,2022-10-14T08:56:12Z,0,2,1,1,1,0,1,0
3294,Merge pull request #1 from public-apis/master,535,True,False,,2022-10-14T08:46:03Z,0,2,0,0,0,0,0,0
3323,Add .circleci/config.yml,514,True,False,,2022-10-12T05:36:02Z,0,1,1,1,26,0,26,0
3291,Add Heptagram API,518,True,False,,2022-10-09T12:30:03Z,0,1,0,1,9,8,17,0
3255,Removed the British National Bibliography,607,True,False,,2022-10-08T19:56:07Z,0,1,0,1,0,1,1,0
3312,Add Catbox API to Cloud Storage,514,True,False,,2022-09-23T08:21:40Z,0,1,0,1,1,0,1,0
3296,add hindi jokes api,514,True,False,,2022-09-09T12:08:20Z,0,1,0,1,1,0,1,0
3277,Add Tron Network Official API,514,True,False,,2022-09-04T14:56:01Z,0,1,0,1,1,0,1,0
3257,Added German Railway Routing,514,True,False,,2022-08-04T15:41:46Z,0,1,0,1,1,0,1,0
3248,Add Shadify,549,True,False,,2022-07-17T08:50:48Z,0,1,0,1,1,0,1,0
3246,Update README.md,543,True,False,,2022-07-15T21:50:31Z,0,2,2,1,0,1,1,0
3245,Add Atom Finance API,514,True,False,,2022-07-15T21:50:03Z,0,2,1,1,1,0,1,0
3243,Add Smsjet,514,True,False,,2022-07-15T21:49:47Z,0,2,1,1,1,0,1,0
3242,Add Platzi Fake Store API to Shopping,514,True,False,,2022-07-15T21:48:45Z,0,2,1,1,54,51,105,0
3240,Added Form2Channel,739,True,False,,2022-07-15T21:48:15Z,0,2,1,1,1,0,1,0
3239,Add TheOfficeQuotesAPI,514,True,False,,2022-07-15T21:47:02Z,0,2,1,1,1,0,1,0
3238,Add RonSwansonQuotesAPI,514,True,False,,2022-07-15T21:46:43Z,0,2,1,1,1,0,1,0
3237,Add doqs API,514,True,False,,2022-07-15T21:46:13Z,1,3,1,1,1,0,1,0
3235,added Webvium browser api to development,514,True,False,,2022-07-15T21:45:55Z,2,4,1,1,1,0,1,0
3233,Add Hirak Crypto to Cryptocurrency,514,True,False,,2022-07-15T21:45:24Z,0,2,2,1,1,0,1,0
3231,Add some random api to entertainment,514,True,False,,2022-07-15T21:45:08Z,0,2,1,1,1,0,1,0
3213,Update Text Analysis section,514,True,False,,2022-07-15T21:44:49Z,0,2,1,1,1,0,1,0
3212,Update Cryptocurrency list,535,True,False,,2022-07-15T21:44:29Z,0,2,1,1,1,0,1,0
3211,Add Jandapress API,514,True,False,,2022-07-15T21:44:09Z,1,3,1,1,1,0,1,0
3208,Update links.py,640,True,False,,2022-07-15T21:43:50Z,0,2,1,1,2,2,4,0
3207,Update README.md,557,True,False,,2022-07-15T21:43:31Z,0,2,1,1,1,0,1,0
3206,Update README.md,514,True,False,,2022-07-15T21:42:36Z,0,2,1,1,1,0,1,0
3203,Added Podcast Section,514,True,False,,2022-07-15T21:42:21Z,0,2,1,1,11,0,11,0
3202,Remove api.aakhilv.me,553,True,False,,2022-07-15T21:41:53Z,0,2,1,1,0,1,1,0
3200,Add VeganCheck API to Food & Drinks,514,True,False,,2022-07-15T21:41:30Z,0,2,1,1,1,0,1,0
3199,add ImgWhale to Cloud Storage & File Sharing,514,True,False,,2022-07-15T21:41:11Z,0,2,1,1,1,0,1,0
3198,add World News API,514,True,False,,2022-07-15T21:40:55Z,0,2,1,1,1,0,1,0
3197,Bhagvad Gita API update ,514,True,False,,2022-07-15T21:40:18Z,1,3,2,1,3,2,5,0
3194,fixes small typos in README.md,91,True,False,,2022-07-15T21:38:26Z,0,2,1,1,8,7,15,0
3193,Add IBANAPI to Finance,514,True,False,,2022-07-15T21:37:09Z,0,3,2,1,1,0,1,0
3192,Update README.md,544,True,False,,2022-07-15T21:36:03Z,0,2,1,1,2,1,3,0
3191,Update README.md,514,True,False,,2022-07-15T21:35:35Z,0,2,1,1,1,0,1,0
3189,add spaces just to check how pull request work,514,True,False,,2022-07-15T21:35:14Z,0,2,1,1,2,0,2,0
3188,Add African Animal Facts  to Animals,514,True,False,,2022-07-15T21:34:38Z,0,4,4,1,54,51,105,0
3247,"adding extra ""t"" letters",534,True,False,,2022-07-15T20:39:49Z,0,1,1,1,1,1,2,0
3241,Update README.md,514,True,False,,2022-07-11T19:30:01Z,0,1,0,1,54,51,105,0
3234,added webvium browser api in development,514,True,False,,2022-07-08T06:35:06Z,0,1,0,1,1,0,1,0
3232,Add HRKCrypto to Cryptocurrency,514,True,False,,2022-07-04T11:06:17Z,0,1,0,1,1,0,1,0
3230,Add Hirak Crypto to Cryptocurrency,514,True,False,,2022-07-04T10:45:00Z,0,1,1,1,1,0,1,0
3229,Add Hirak Crypto to Cryptocurrency,514,True,False,,2022-07-02T17:05:26Z,0,1,0,1,1,1,2,0
3228,Add HirakCrypto to Cryptocurrency,514,True,False,,2022-07-02T17:00:55Z,0,1,0,1,2,1,3,0
3227,Add Hirak Crypto API to Cryptocurrency,514,True,False,,2022-07-02T16:52:56Z,0,1,0,1,1,0,1,0
3226,Add Crypto to Cryptocurrency,514,True,False,,2022-07-02T16:42:12Z,0,1,0,1,1,0,1,0
3225,Update README.md,514,True,False,,2022-07-02T16:34:26Z,0,1,0,1,1,0,1,0
3224,Add HirakCrypto to Cryptocurrency,514,True,False,,2022-07-02T16:31:00Z,0,1,0,1,1,0,1,0
3223,Add Hirak Crypto to Cryptocurrency,514,True,False,,2022-07-02T14:27:48Z,0,1,0,1,1,0,1,0
3222,Add Hirak Crypto to Cryptocurrency,514,True,False,,2022-07-02T14:24:01Z,0,1,1,1,1,0,1,0
3221,Add Hirak Crypto to Cryptocurrency,514,True,False,,2022-07-02T14:14:03Z,0,1,0,1,1,0,1,0
3220,Add Hirak Crypto to Cryptocurrency,393,True,False,,2022-07-02T14:09:09Z,0,1,0,1,1,0,1,0
3218,Add Hirak Crypto to Cryptocurrency,514,True,False,,2022-07-02T14:03:06Z,0,1,0,1,1,0,1,0
3217,Add Hirak Crypto to Cryptocurrency,514,True,False,,2022-07-02T13:55:27Z,0,1,0,1,1,0,1,0
3216,Add Hirak Crypto to Cryptocurrency,514,True,False,,2022-07-02T13:51:38Z,0,1,0,1,1,0,1,0
3215,Add Hirak Crypto to Cryptocurrency,514,True,False,,2022-07-02T13:49:00Z,0,1,0,1,1,0,1,0
3214,Add Hirak Crypto to Cryptocurrency,514,True,False,,2022-07-02T13:48:42Z,0,1,0,1,1,0,1,0
3205,Update README.md,514,True,False,,2022-06-24T19:36:03Z,0,1,0,1,1,0,1,0
3204,Adds Go-APOD under Science & Math,799,True,False,,2022-06-24T16:11:50Z,0,1,0,1,1,0,1,0
1450,Added git.io URL shortener,458,True,True,2021-05-01T05:20:54Z,2021-05-01T05:20:54Z,1,4,3,1,1,0,1,14819079.0
3186,Update links.py,548,True,False,,2022-06-10T03:19:26Z,0,2,1,1,25,93,118,0
3185,Update format.py,548,True,False,,2022-06-10T03:18:49Z,0,2,1,1,9,68,77,0
3184,add api.gouv.fr,514,True,False,,2022-06-10T03:18:15Z,0,2,1,1,1,0,1,0
3181,Add ClockIt API to Documents & Productivity,529,True,False,,2022-06-10T03:17:49Z,0,2,1,1,1,0,1,0
3177,Add new API in `business`,514,True,False,,2022-06-10T03:17:21Z,0,2,1,1,1,0,1,0
3176,feat(accessibility): add accessibility section,616,True,False,,2022-06-10T03:16:57Z,0,2,1,1,8,0,8,0
3175,Add Cryptosnake API to Cryptocurrency,514,True,False,,2022-06-10T03:16:31Z,0,2,1,1,67,66,133,0
3172,Added CDC api,514,True,False,,2022-06-10T03:15:41Z,0,2,1,1,2,0,2,0
3171,Update README.md,514,True,False,,2022-06-10T03:14:56Z,1,3,10,1,1,0,1,0
3178,Contributing guidelines,514,True,False,,2022-06-10T02:56:13Z,0,2,0,2,1849,1847,3696,0
3183,Add API-GOV-FR.md,514,True,False,,2022-06-09T13:53:46Z,0,1,0,1,1,0,1,0
3179,Update a statistic,514,True,False,,2022-06-08T16:18:18Z,0,1,0,1,1,1,2,0
3169,Add German Random Words,514,True,False,,2022-05-24T17:39:44Z,0,2,1,1,1,0,1,0
3168,Added FOAAS,514,True,False,,2022-05-24T17:39:12Z,0,2,1,1,1,0,1,0
3165,Add Searoutes API,514,True,False,,2022-05-24T17:38:15Z,0,2,1,1,1,0,1,0
3164,Removed Dead Links,593,True,False,,2022-05-24T17:37:11Z,0,2,1,1,0,4,4,0
3160,Update the Creative Commons API,509,True,False,,2022-05-22T04:06:53Z,0,2,3,1,1,1,2,0
3163,Added flask as a requirement in requirements,514,True,False,,2022-05-22T13:43:00Z,0,1,0,1,1,0,1,0
3161,Add BMW-Group API,553,True,False,,2022-05-22T04:07:20Z,0,2,1,1,1,0,1,0
3159,Add files via upload,514,True,False,,2022-05-22T04:06:18Z,0,2,0,1,1,0,1,0
3158,Add clinicaltrials.gov API,677,True,False,,2022-05-22T04:06:06Z,0,2,1,1,1,0,1,0
3157,Add ClipDrop API,514,True,False,,2022-05-22T04:05:37Z,1,2,1,1,1,0,1,0
3156,Update James Clear Quotes,605,True,False,,2022-05-19T20:39:29Z,0,1,1,1,1,1,2,0
3155,Add Advice Slip API to Entertainment,514,True,False,,2022-05-16T17:38:08Z,0,2,1,1,1,0,1,0
3153,Add Wallpapers to Art & Design,514,True,False,,2022-05-14T19:52:03Z,0,2,1,1,1,0,1,0
3149,Ghostauth,551,True,False,,2022-05-13T01:21:56Z,0,2,1,1,2,0,2,0
3146,Added examples of incorrect formatting,514,True,False,,2022-05-08T00:26:57Z,1,3,1,1,2,0,2,0
3144,docs: added Apache APISIX,514,True,False,,2022-05-05T13:56:29Z,0,2,1,1,1,0,1,0
3138,Add AssemblyAI API to Text Analysis,586,True,False,,2022-04-21T16:36:41Z,0,2,2,1,1,0,1,0
3136,Remove Intrinio,548,True,False,,2022-04-19T21:24:13Z,0,2,1,1,0,1,1,0
3133,Remove the Ksoft.si Lyrics,125,True,False,,2022-04-18T19:30:38Z,0,2,1,1,0,1,1,0
2509,Add Wandbox API to Development,663,True,True,2021-10-25T06:18:01Z,2021-10-25T06:18:01Z,2,2,6,1,1,0,1,1048608.0
3132,added dog facts to public api repo,514,True,False,,2022-04-13T19:16:23Z,0,2,1,1,1,0,1,0
3052,Add GDBrowser API,514,True,True,2022-02-18T16:14:42Z,2022-02-18T16:14:42Z,2,3,1,1,1,0,1,785331.0
3124,Add Eqivo API to Open Source Projects,514,True,False,,2022-04-05T19:25:53Z,0,2,1,1,1,0,1,0
3131,Updated Bhagavad gita api to free,514,True,False,,2022-04-06T22:18:23Z,0,2,2,1,1,1,2,0
3120,Follow PEP8 Style,540,True,False,,2022-04-04T17:14:57Z,0,2,3,4,141,135,276,0
3121,Fixed changed url,590,True,False,,2022-04-04T17:17:41Z,0,2,1,1,1,1,2,0
3119,Hirak services suspended. (TBC),268,True,False,,2022-04-02T06:40:59Z,0,1,0,1,1,6,7,0
3117,Switch to gender neutral terms,409,True,False,,2022-03-30T21:34:22Z,0,2,0,1,4,4,8,0
3118,Switch to gender neutral terms,409,True,False,,2022-03-30T22:17:52Z,0,2,1,1,4,4,8,0
3116,Switch to gender neutral terms,220,True,False,,2022-03-30T19:35:13Z,0,1,0,2,11,11,22,0
3115,Squash commits against Guidelines.,514,True,False,,2022-03-30T13:13:06Z,0,2,1,0,0,0,0,0
3114,Add Chello API to Phone,551,True,False,,2022-03-28T20:56:30Z,0,3,1,1,1,0,1,0
3113,Add Argentinian Random Quote to Entertainment,560,True,False,,2022-03-23T21:43:09Z,0,2,2,1,1,0,1,0
3112,Add Argentinian Random Quote to Entertainment,560,True,False,,2022-03-23T21:00:44Z,0,1,0,1,1,0,1,0
3009,Add Times Adder API to Science & Math,560,True,True,2022-01-20T01:56:40Z,2022-01-20T01:56:40Z,1,2,1,1,1,0,1,460506.0
3109,add APIC OpenGraph,514,True,False,,2022-03-21T16:47:14Z,0,2,1,1,1,0,1,0
3108,add APIC IP,514,True,False,,2022-03-21T16:46:46Z,0,2,1,1,1,0,1,0
3105,Resolved formatting issues,514,True,False,,2022-03-19T05:24:00Z,0,2,1,1,1,2,3,0
3103,Add Hindi Quotes API to Personality,514,True,False,,2022-03-17T00:43:52Z,0,2,1,1,54,51,105,0
3102,Add PRC Exam Schedule to Government,514,True,True,2022-03-16T04:29:32Z,2022-03-16T04:29:32Z,1,2,0,1,1,0,1,14398.0
3100,Add Hirak OCR to Text Analysis,514,True,True,2022-03-16T04:16:11Z,2022-03-16T04:16:11Z,1,2,0,1,1,0,1,77962.0
3098,Add Hirak IP to Country to Geocoding,514,True,True,2022-03-16T03:59:38Z,2022-03-16T03:59:38Z,1,2,0,1,1,0,1,147052.0
3101,Add Professional Regulation Commission Exam API to Government,514,True,False,,2022-03-16T00:19:42Z,0,1,0,1,1,0,1,0
3099,Add Hirak OCR to Machine Learning,514,True,False,,2022-03-15T06:35:32Z,0,1,0,1,1,0,1,0
3095,Add Hirak IP to Country to Geocoding,514,True,False,,2022-03-14T11:08:15Z,0,1,0,1,1,0,1,0
3094,Add Threat Jammer to Security,514,True,True,2022-03-13T01:18:48Z,2022-03-13T01:18:48Z,1,2,0,1,1,0,1,108084.0
3091,Add MFaaS to Video,514,True,True,2022-03-13T00:42:41Z,2022-03-13T00:42:41Z,1,2,0,1,1,0,1,393534.0
3090,Add WhatJobs to Jobs,514,True,True,2022-03-13T00:21:15Z,2022-03-13T00:21:15Z,1,2,2,1,1,0,1,402852.0
3093,Update waifu.im: CORS from No to Yes,574,True,True,2022-03-12T04:50:07Z,2022-03-12T04:50:07Z,1,2,0,1,1,1,2,45045.0
3087,Add Warface to Games & Comics,551,True,True,2022-03-12T04:26:55Z,2022-03-12T04:26:55Z,1,2,0,1,1,0,1,495628.0
3075,Add Hirak Translation to Text Analysis,514,True,True,2022-03-11T05:45:55Z,2022-03-11T05:45:55Z,3,2,2,1,1,0,1,1020382.0
3085,Add National Park Service to Government,514,True,True,2022-03-10T05:46:18Z,2022-03-10T05:46:19Z,1,2,0,1,1,0,1,342418.0
3078,Add Hirak FaceAPI to Machine Learning,514,True,True,2022-03-10T05:31:21Z,2022-03-10T05:31:21Z,2,2,0,1,1,0,1,689986.0
3072,Add Lecto Translation to Text Analysis,738,True,True,2022-03-06T04:27:23Z,2022-03-06T04:27:23Z,3,2,5,1,1,0,1,660412.0
3076,Add Hirak Exchange Rates to Cryptocurrency,514,True,True,2022-03-05T23:13:05Z,2022-03-05T23:13:05Z,1,2,0,1,1,0,1,405410.0
3073,Add Website Carbon to Environment,514,True,True,2022-03-05T22:41:42Z,2022-03-05T22:41:42Z,1,3,0,1,1,0,1,605049.0
3066,Add Techy to Entertainment,514,True,True,2022-03-05T22:13:51Z,2022-03-05T22:13:51Z,1,2,0,1,1,0,1,806313.0
3065,Add NoPhishy to Anti-Malware,514,True,True,2022-03-04T23:18:38Z,2022-03-04T23:18:39Z,1,2,0,1,1,0,1,947899.0
3062,Add icy.tools to Cryptocurrency,530,True,False,,2022-03-04T22:49:34Z,1,3,1,1,1,0,1,0
3082,Fixed typo: Upcomimg -> Upcoming,514,True,True,2022-03-04T22:11:39Z,2022-03-04T22:11:39Z,1,2,0,1,1,1,2,23546.0
3079,Remove Indeed from Jobs,529,True,True,2022-03-04T22:05:15Z,2022-03-04T22:05:15Z,1,2,0,1,0,1,1,175132.0
3051,Add iyzico to Finance,515,True,False,,2022-03-02T01:11:31Z,1,2,1,1,1,0,1,0
3060,Add RPS 101 to Games & Comics,559,True,True,2022-03-02T05:06:33Z,2022-03-02T05:06:33Z,1,2,0,1,1,0,1,1192347.0
