Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
55455,docs: Update dependency-injection-context.md,0,True,False,,2024-04-23T20:27:19Z,1,3,1,1,9,9,18,0
55454,docs: Update dependency-injection-providers.md,0,True,False,,2024-04-23T20:26:18Z,1,3,1,1,15,15,30,0
55449,docs: Update creating-injectable-service.md,0,True,False,,2024-04-23T20:25:55Z,1,3,1,1,9,12,21,0
55432,docs: Update dependency-injection.md,0,True,False,,2024-04-23T20:29:17Z,1,3,2,1,7,7,14,0
55399,fix(core): render hooks should not specifically run outside the Angul…,767,True,False,,2024-04-25T16:06:43Z,1,3,2,1,1,2,3,0
55360,fix(compiler-cli): don't type check the bodies of control flow nodes in basic mode,477,True,False,,2024-04-19T13:29:58Z,2,4,2,5,88,9,97,0
55478,fix(core): resolve error for multiple component instances that use fallback content,433,True,False,,2024-04-25T16:04:07Z,2,2,1,4,116,14,130,0
55516,fix(core): hide implementation details of ExperimentalPendingTasks,174,True,False,,2024-04-25T15:51:04Z,5,5,3,2,1,4,5,0
54910,docs: fix typo in editor,769,True,False,,2024-04-25T16:00:03Z,3,7,1,1,1,1,2,0
55379,refactor(forms): replace errors with hasError(),853,True,False,,2024-04-25T15:57:32Z,3,6,2,4,26,26,52,0
55506,docs: Correct code references in Tutorial 01.,854,True,False,,2024-04-25T15:55:10Z,2,4,1,1,3,3,6,0
55514,docs: update security guide link references,786,True,False,,2024-04-25T15:54:34Z,1,4,1,4,4,4,8,0
55543,"Update next branch to reflect new release-train ""v18.1.0-next.0"".",256,True,True,2024-04-25T15:37:59Z,2024-04-25T15:37:59Z,1,2,0,2,73,1,74,47.0
55542,"Bump version to ""v18.0.0-next.6"" with changelog.",0,True,True,2024-04-25T15:34:43Z,2024-04-25T15:34:43Z,0,1,0,2,73,1,74,27.0
55541,docs: release notes for the v17.3.6 release,78,True,True,2024-04-25T15:28:37Z,2024-04-25T15:28:37Z,1,2,0,1,11,0,11,20.0
55539,"Bump version to ""v17.3.6"" with changelog.",0,True,True,2024-04-25T15:25:55Z,2024-04-25T15:25:55Z,0,1,0,2,12,1,13,24.0
55538,docs: update Angular CLI help [17.3.x],34,True,False,,2024-04-25T15:17:46Z,0,2,0,11,14,14,28,0
55526,build: make scripts for compatibility with Node.js 18.20+,216,True,False,,2024-04-25T15:11:44Z,1,3,1,9,203,7,210,0
55111,docs: replace alert blocks with tag,0,True,False,,2024-04-25T12:06:25Z,0,1,1,10,40,150,190,0
55420,docs(docs-infra): set `Cross-Origin-Embedder-Policy` to `credentialless`,0,True,False,,2024-04-25T12:06:04Z,0,1,1,1,2,2,4,0
54598,docs: add mention of the effect timing in components,12,True,False,,2024-04-25T10:46:11Z,0,2,3,2,14,1,15,0
55522,build: patch package depending on node version for ng-dev.,33,True,False,,2024-04-25T09:49:40Z,0,1,0,1,4,3,7,0
55528,Test something,0,True,False,,2024-04-25T08:36:31Z,0,2,0,2,23,11,34,0
54980,fix(http): manage different body types for caching POST requests,144,True,False,,2024-03-25T18:17:07Z,1,3,2,4,78,15,93,0
55016,docs: unescape html entities,110,True,False,,2024-03-25T18:16:38Z,5,4,3,69,548,548,1096,0
55017,test(zone.js): fix zone.js test listener removal,1111,True,False,,2024-03-25T18:16:09Z,2,5,2,1,1,1,2,0
55013,docs: adds Chris Perko to the GDE resources,820,True,False,,2024-03-25T16:43:28Z,2,4,7,2,8,0,8,0
51300,Docs/contributors gde alanbuscaglia,783,True,False,,2024-03-25T16:43:45Z,0,3,7,2,8,0,8,0
54674,docs: add damian sire to GDE resources,688,True,False,,2024-03-25T16:43:37Z,1,3,6,2,8,0,8,0
55025,docs: Explicit label forms tutorial,1360,True,False,,2024-03-25T16:09:41Z,0,2,2,6,22,42,64,0
54746,fix(http): exclude caching for authenticated HTTP requests,124,True,False,,2024-03-07T19:00:07Z,4,5,4,2,20,1,21,0
54879,fix(core): correctly project single-root content inside control flow,598,True,False,,2024-03-25T09:12:26Z,3,2,4,4,204,52,256,0
55412,refactor(zone.js): use `.toString()` directly for improved tree shakability,783,True,False,,2024-04-24T23:50:15Z,1,2,0,1,2,2,4,0
55406,docs(devtools): update README to be more clear for extension reviewers,1313,True,False,,2024-04-23T20:02:53Z,1,4,1,3,153,113,266,0
55524,Revert of a few recent commits,34,True,False,,2024-04-24T23:36:00Z,1,2,1,24,95,170,265,0
52373,refactor(core): Remove more CD operations from checkNoChanges pass,66,True,False,,2024-04-24T20:42:55Z,2,3,0,3,44,41,85,0
54832,refactor(core): clear Dirty flag even in checkNoChanges pass,1163,True,False,,2024-04-24T20:20:32Z,2,2,1,2,2,56,58,0
55499,refactor(core): Switch keycode from an enum to a const,783,True,False,,2024-04-24T19:41:15Z,1,2,1,1,5,5,10,0
55501,refactor(core): Reserve the symbol for registering the dispatcher and other event info fields,862,True,False,,2024-04-24T19:40:50Z,2,3,1,1,13,1,14,0
55487,feat(core): provide ExperimentalPendingTasks API,296,True,False,,2024-04-24T18:23:13Z,8,6,10,5,75,13,88,0
55492,refactor(core): Omit listeners from out-of-zone scheduling when using ZoneJS,1251,True,False,,2024-04-24T19:25:11Z,3,5,1,14,136,31,167,0
55515,docs: fix public API from primitives,0,True,False,,2024-04-24T18:22:07Z,2,3,1,2,7,3,10,0
55505,refactor(platform-server): add link that explains nonce `application/json`,80,True,False,,2024-04-24T17:48:41Z,1,2,1,1,5,1,6,0
55513,ci: update @angular/ng-dev,40,True,False,,2024-04-24T17:46:03Z,1,3,1,2,7,10,17,0
55353,fix(core): Fix null dereference error `addEvent`,1132,True,False,,2024-04-17T09:29:03Z,2,4,2,2,4,2,6,0
55372,refactor(core): Split Dispatcher into base class.,1162,True,False,,2024-04-24T16:10:07Z,3,4,4,3,297,173,470,0
55435,refactor(core): Remove stop propagation behavior.,973,True,False,,2024-04-24T16:12:37Z,4,5,4,2,8,60,68,0
55132,Ensure animations are flushed when ApplicationRef.tick happens,657,True,False,,2024-04-24T17:33:50Z,7,4,2,16,45,75,120,0
55502,Misc event replay fixes,178,True,False,,2024-04-24T17:32:38Z,7,4,3,4,44,19,63,0
55498,docs: update Angular CLI help [17.3.x],34,True,False,,2024-04-24T09:09:13Z,0,2,0,11,14,14,28,0
54803,docs(docs-infra): fixes broken images,785,True,False,,2024-03-10T22:11:46Z,0,2,4,1,1,1,2,0
55467,refactor(core): Replay events queued in the event contract.,783,True,False,,2024-04-23T23:08:39Z,13,3,5,11,604,233,837,0
55473,build: update scorecard action dependencies,1730,True,False,,2024-04-23T22:17:47Z,2,4,1,1,3,3,6,0
55397,refactor(forms): added control name in console errors,894,True,False,,2024-04-23T22:16:59Z,9,2,5,3,72,6,78,0
55271,fix(core): DeferBlockFixture.render should not wait for stability,328,True,False,,2024-04-23T22:12:46Z,1,3,1,3,42,5,47,0
55292,docs: update Angular CLI help [17.3.x],34,True,False,,2024-04-19T13:41:29Z,0,2,0,11,14,14,28,0
55289,docs: update Angular CLI help [main],34,True,False,,2024-04-19T13:41:25Z,1,4,1,2,2,2,4,0
55285,docs: update Angular CLI help [main],34,True,False,,2024-04-19T13:41:35Z,0,2,0,11,14,14,28,0
55268,docs: update Angular CLI help [17.3.x],34,True,False,,2024-04-19T13:41:21Z,1,4,1,11,14,14,28,0
55266,docs: update Angular CLI help [main],34,True,False,,2024-04-09T18:23:58Z,0,2,1,12,14,50,64,0
55251,docs: update Angular CLI help [main],34,True,False,,2024-04-09T17:29:55Z,1,4,3,3,2,38,40,0
55250,docs: update Angular CLI help [main],34,True,False,,2024-04-08T20:58:15Z,0,2,1,3,2,38,40,0
54911,docs: update Angular CLI help [17.3.x],34,True,False,,2024-03-18T23:51:31Z,2,4,3,2,5,5,10,0
54861,docs: update Angular CLI help [main],34,True,False,,2024-03-14T15:55:46Z,1,4,2,2,2,1,3,0
54815,docs: update Angular CLI help [main],34,True,False,,2024-03-12T16:13:58Z,1,4,2,2,4,4,8,0
55409,docs: update Angular CLI help [main],34,True,False,,2024-04-23T20:24:24Z,2,3,1,3,3,3,6,0
55343,build: lock file maintenance,663,True,False,,2024-04-23T20:37:58Z,3,5,2,2,437,604,1041,0
55390,"docs(http): change ""buffer.length"" to ""buffer.byteLength""",958,True,False,,2024-04-23T20:34:35Z,1,3,1,1,1,1,2,0
55491,fix(core): complete the removal of deprecation `async` function,132,True,False,,2024-04-23T20:29:48Z,1,2,2,2,0,12,12,0
55472,build: update actions/checkout action to v4.1.3,1266,True,False,,2024-04-23T20:05:15Z,1,3,1,5,6,6,12,0
55414,docs: improve grammar at tutorial steps,870,True,False,,2024-04-23T20:23:01Z,6,5,1,15,17,17,34,0
55446,docs(docs-infra): fix broken links,831,True,False,,2024-04-23T20:21:51Z,4,5,4,1,3,3,6,0
55407,docs: Fix typo in waitForAsync example,958,True,False,,2024-04-23T20:16:19Z,2,4,2,1,1,1,2,0
55495,fix(platform-server): add `nonce` attribute to event record script,101,True,False,,2024-04-23T20:12:49Z,1,3,1,3,46,6,52,0
55463,ci: reenable integration tests,78,True,False,,2024-04-23T20:13:22Z,1,2,1,6,6,6,12,0
55474,refactor(browser): remove deprecated transfer state APIs,156,True,False,,2024-04-23T20:05:40Z,2,4,3,3,1,86,87,0
55479,refactor(animations): remove deprecated `matchesElement` from `AnimationDriver`,104,True,False,,2024-04-23T20:06:29Z,3,5,1,5,0,28,28,0
55477,build: remove no longer required bazel windows patch,33,True,False,,2024-04-23T20:06:06Z,1,3,1,2,0,28,28,0
55480,fix(core): skip defer timers on the server,169,True,False,,2024-04-23T20:06:55Z,1,3,1,2,6,1,7,0
55464,build: update actions/checkout digest to 1d96c77,596,True,False,,2024-04-23T20:03:54Z,1,3,2,1,1,1,2,0
55470,docs(docs-infra): improve filtering performances on API page,62,True,False,,2024-04-23T20:04:53Z,1,4,3,1,1,1,2,0
55469,docs: fix links to packages.,12,True,False,,2024-04-23T20:04:24Z,1,3,2,2,8,8,16,0
55437,docs: use v17 for the tutorials,199,True,False,,2024-04-23T20:00:47Z,4,6,5,9,924,760,1684,0
55318,refactor(core): Prevent assigning the same debug value to comment nod…,343,True,False,,2024-04-23T19:28:22Z,0,1,0,1,7,1,8,0
54483,refactor(common): Deprecate Local Data API functions,619,True,False,,2024-04-23T19:22:45Z,6,5,2,2,116,31,147,0
54020,refactor(http): Deprecate HttpClientModule & related modules,622,True,False,,2024-04-23T19:12:33Z,4,7,7,13,912,4,916,0
54984,"feat(router): add ""enableTransientRouteProviders"" router configuration option",800,True,False,,2024-03-27T15:19:34Z,2,4,8,5,65,0,65,0
55411,refactor(core): Make some minor changes to facilitate testing and usage o…,1077,True,False,,2024-04-23T18:05:45Z,7,5,4,2,7,8,15,0
55008,docs: state clearly that setting watch to false will make the serve…,1036,True,False,,2024-03-23T13:15:17Z,0,2,3,1,1,1,2,0
38916,fix(core): stricter event emitter type,2570,True,False,,2024-03-23T15:29:30Z,16,12,54,16,724,7,731,0
55007,docs: added more description for Content Init life cycle hook,897,True,False,,2024-03-23T10:42:25Z,0,1,1,2,3,1,4,0
54902,refactor(http): investigate flakiness of transfer cache test,169,True,False,,2024-03-23T04:03:16Z,0,2,1,1,1,0,1,0
55468,test(core): Wait for zone stability before test completion,69,True,False,,2024-04-23T00:06:45Z,3,3,1,1,5,1,6,0
55369,ci: Add primitives scope to scopes list,495,True,False,,2024-04-22T21:04:21Z,1,2,1,2,3,1,4,0
48556,refactor(common): split out URL-related code into UrlService,1289,True,False,,2024-04-22T20:00:40Z,2,3,0,6,281,135,416,0
55377,build: update event dispatch contract to be outputted in IIFE,84,True,False,,2024-04-22T18:35:50Z,6,6,2,1,1,1,2,0
55433,ci: disable updates to zone.js types test ,744,True,False,,2024-04-22T18:40:09Z,1,3,1,3,10,15,25,0
54950,build: update actions/cache digest to 0c45773,568,True,False,,2024-04-22T18:26:56Z,1,4,1,1,1,1,2,0
55374,fix(core): make `ActivatedRoute` inject correct instance inside `@defer` blocks,1022,True,False,,2024-04-22T19:01:51Z,4,3,3,3,77,21,98,0
55347,docs: change aio to adev for the issue template,0,True,False,,2024-04-22T18:58:22Z,1,4,1,1,1,1,2,0
55453,docs: fix link to inject-based-di tutorial.,12,True,False,,2024-04-22T18:57:39Z,1,3,1,1,1,1,2,0
55448,docs: remove performance warning for directive composition,189,True,False,,2024-04-22T18:52:54Z,1,3,1,1,0,30,30,0
55434,refactor(http): remove direct usage of `HttpStatusCode`,247,True,False,,2024-04-22T18:36:53Z,3,3,3,5,18,13,31,0
55428,refactor(platform-server): remove inlined JSAction script when no events to replay,480,True,False,,2024-04-22T18:36:23Z,5,4,3,2,104,11,115,0
55338,docs: add anchors to packages on api page,108,True,False,,2024-04-22T18:28:43Z,4,4,2,7,30,9,39,0
55274,feat(http): allow caching requests with different origins between ser…,1786,True,False,,2024-04-22T18:26:11Z,41,7,4,7,283,21,304,0
55233,fix(devtools): allow DevTools to fail gracefully for unsupported versions of Angular.,1030,True,False,,2024-04-22T18:25:24Z,7,3,1,8,72,36,108,0
55314,refactor(core): warn developers about collection re-creation in @for …,821,True,False,,2024-04-22T18:24:13Z,8,4,3,4,132,5,137,0
55408,feat(core) Replay events from the event contract using the dispatcher,783,True,False,,2024-04-22T18:02:36Z,19,3,1,18,714,257,971,0
55465,refactor(core): conditionally read data from apply args,149,True,False,,2024-04-22T16:49:08Z,1,2,1,2,7,1,8,0
54941,docs: restore http security doc,67,True,False,,2024-03-22T16:45:36Z,0,2,3,1,5,0,5,0
54734,fix(core): Change Detection will continue to refresh views while mark…,543,True,False,,2024-03-06T23:43:18Z,1,3,4,3,86,90,176,0
54997,fix: change adev inject-based-di link from roadmap,138,True,False,,2024-03-22T11:40:14Z,0,1,2,1,1,1,2,0
54908,Support deferred blocks in partial compilation,2255,True,False,,2024-03-22T05:15:34Z,3,4,3,42,631,175,806,0
54921,Project control flow branches individually,1650,True,False,,2024-03-22T05:14:19Z,1,3,2,20,758,159,917,0
54939,fix(http): include transferCache when cloning HttpRequest,779,True,False,,2024-03-22T05:13:49Z,11,7,5,3,21,4,25,0
54942,fix(compiler): declare for loop aliases in addition to new name,275,True,False,,2024-03-22T05:13:17Z,2,3,2,26,389,143,532,0
54947,ci: change label set by renovate to be merge ready immediately,162,True,False,,2024-03-22T05:11:12Z,1,3,2,1,1,1,2,0
54960,fix(compiler): invoke method-based tracking function with context,358,True,False,,2024-03-22T05:08:44Z,1,3,2,4,26,2,28,0
54961,feat(compiler-cli): drop support for TypeScript older than 5.4,134,True,False,,2024-03-22T05:07:48Z,4,6,2,14,4,1948,1952,0
55429,refactor(core): Remove annotate.ts from client bundles.,838,True,False,,2024-04-20T18:12:10Z,0,2,1,3,3,5,8,0
55443,docs: fix links in `ng-template`,12,True,False,,2024-04-20T16:41:05Z,0,1,0,1,3,3,6,0
54973,refactor(compiler-cli): move config initialization into constructor,1038,True,False,,2024-03-20T23:32:06Z,0,1,1,3000,1592153,0,1592153,0
54752,Simplify targeted mode,914,True,False,,2024-03-20T22:11:35Z,0,1,3,5,30,94,124,0
54754,exploratory cleanup of lview flags for change detection,0,True,False,,2024-03-20T22:11:27Z,0,1,2,7,49,125,174,0
54842,refactor(core): Update `ChangeDetectionMode.Targeted` to refresh views with `LViewFlags.Dirty`,785,True,False,,2024-03-20T22:11:18Z,0,1,1,5,18,72,90,0
54905,exploratory: Change markForCheck behavior to be 'local' within afterRender hooks,0,True,False,,2024-03-20T22:11:12Z,0,1,1,15,111,12,123,0
54972,"Bump version to ""v18.0.0-next.1"" with changelog.",0,True,True,2024-03-20T22:01:08Z,2024-03-20T22:01:08Z,0,1,1,2,50,1,51,131.0
54971,docs: release notes for the v17.3.1 release,0,True,False,,2024-03-20T21:32:28Z,1,2,2,1,13,0,13,0
54970,ci: temporarily disable failing test ,0,True,False,,2024-03-20T20:31:41Z,1,2,2,1,2,1,3,0
54969,"Bump version to ""v17.3.1"" with changelog.",0,True,True,2024-03-20T19:49:30Z,2024-03-20T19:49:31Z,0,1,1,2,14,1,15,1173.0
54711,fix(compiler-cli): symbol feature detection for the compiler,130,True,False,,2024-03-20T19:14:45Z,1,2,2,2,43,4,47,0
54966,fix(zone.js): Add 'declare' to each interface to prevent renaming,267,True,False,,2024-03-20T16:16:10Z,1,2,2,1,12,12,24,0
52491,docs(core): deprecate `ElementRef` constructor,992,True,False,,2024-03-20T03:04:22Z,0,2,2,2,4,0,4,0
55404,refactor: migrate forms to prettier formatting,58,True,False,,2024-04-20T00:04:59Z,2,3,2,50,11458,10148,21606,0
54799,Issue FIx: confusing sentence #54792,783,True,False,,2024-04-19T23:05:13Z,1,3,3,1,1,1,2,0
55419,build: update scorecard action dependencies,1547,True,False,,2024-04-19T20:26:49Z,1,3,1,1,2,2,4,0
55423,refactor: migrate localize and platform-* to prettier formatting,77,True,False,,2024-04-19T20:49:27Z,1,2,2,205,22762,19297,42059,0
55424,build: update Domino to 8f228f8862540c6ccd14f76b5a1d9bb5458618af,32,True,False,,2024-04-19T20:24:27Z,1,3,2,6,9,12,21,0
55426,build: update Domino to 8f228f8862540c6ccd14f76b5a1d9bb5458618af,32,True,False,,2024-04-19T20:25:24Z,1,3,1,6,9,9,18,0
55356,feat(core): Add a public API to establish events to be replayed and a…,974,True,False,,2024-04-19T20:12:24Z,50,9,4,13,293,39,332,0
55430,docs: Update dependency-injection.md,0,True,False,,2024-04-19T19:34:37Z,0,1,0,3000,1491821,0,1491821,0
55413,build: update build-tooling,63,True,False,,2024-04-19T16:30:46Z,2,4,1,2,4,4,8,0
54891,build: update cross-repo angular dependencies,24588,True,False,,2024-04-19T15:51:11Z,1,4,1,24,1094,514,1608,0
55034,feat(http): exclude caching for authenticated HTTP requests,502,True,False,,2024-04-19T13:25:24Z,6,5,1,4,46,2,48,0
55391,refactor(migrations): remove v17 migrations,240,True,False,,2024-04-19T13:31:30Z,1,3,1,20,1,7052,7053,0
55388,docs: api pages improvements,352,True,False,,2024-04-19T13:30:36Z,4,6,4,6,133,80,213,0
55243,refactor(core): warn about duplicated keys when using built-in @for,252,True,False,,2024-04-19T13:29:00Z,7,6,7,4,162,0,162,0
55231,refactor(core): Account for `Promise.resolve(() => updateState())` pa…,826,True,False,,2024-04-19T13:25:48Z,1,2,1,17,174,18,192,0
55418,refactor(core): minor clean up to the `runInitializers` code,30,True,False,,2024-04-19T13:19:16Z,0,1,0,3,14,40,54,0
54934,build: update eslint dependencies,4978,True,False,,2024-03-19T19:34:56Z,1,3,2,2,197,214,411,0
54940,refactor(router): optimize single character check by replacing startsWith with direct access `[0]`,341,True,False,,2024-03-19T16:55:03Z,1,2,2,4,6,6,12,0
54932,build: update github/codeql-action action to v3.24.8,775,True,False,,2024-03-19T16:59:51Z,1,3,2,1,1,1,2,0
54931,build: update dependency google-closure-compiler to v20240317,1436,True,False,,2024-03-19T17:00:48Z,1,2,2,2,29,29,58,0
54933,build: update babel dependencies to v7.24.1,9206,True,False,,2024-03-19T17:01:33Z,1,2,3,4,89,10,99,0
54928,refactor(docs-infra): don't rely on aio_npm in adev,52,True,False,,2024-03-19T16:55:49Z,2,3,2,5,5,5,10,0
54920,build: lock file maintenance,688,True,False,,2024-03-19T16:51:48Z,1,2,3,8,7744,14668,22412,0
54874,Platform-server: remove several deprecated APIs,936,True,False,,2024-03-18T23:37:09Z,3,3,2,7,13,153,166,0
54875,refactor(platform-browser-dynamic): unused `RESOURCE_CACHE_PROVIDER` API has been removed,79,True,False,,2024-03-18T23:53:30Z,3,3,2,4,1,131,132,0
55405,refactor: migrate language-service to prettier formatting,69,True,False,,2024-04-18T21:18:40Z,1,3,1,55,4046,2332,6378,0
55398,refactor: migrate compiler to prettier formatting,61,True,False,,2024-04-18T21:18:11Z,1,2,1,216,16083,9430,25513,0
55371,release: bump Angular DevTools version to 1.0.13,0,True,False,,2024-04-17T05:53:15Z,2,4,3,2,3,3,6,0
54577,docs: add missing usage-notes,824,True,False,,2024-04-15T10:25:43Z,1,4,6,1,54,61,115,0
55395,feat(forms): Improve reactive errors,894,True,False,,2024-04-18T15:19:33Z,0,48,3,466,17419,10528,27947,0
54900,fix(core): Prevent `markForCheck` during change detection from causin…,1040,True,False,,2024-03-18T23:54:04Z,1,2,4,15,157,22,179,0
54671,refactor(core): Add hydration missmatch on the component rather than the node,200,True,False,,2024-03-18T23:52:22Z,10,4,6,3,27,5,32,0
54903,refactor(core): allow passing an environment injector while creating a view,468,True,False,,2024-03-18T23:37:38Z,1,3,3,3,12,7,19,0
54926,ci: move saucelabs to regular CI job,101,True,False,,2024-03-18T18:02:44Z,1,3,2,2,48,66,114,0
53443,Refactors Zones to reduce top-level side effects,2187,True,False,,2024-03-16T01:11:37Z,7,6,3,93,5737,5077,10814,0
55387,refactor: migrate core/primitives to prettier formatting,68,True,False,,2024-04-17T22:55:35Z,2,4,2,26,761,864,1625,0
55370,feat(router): `withNavigationErrorHandler` can convert errors to redi…,461,True,False,,2024-04-17T22:53:04Z,3,5,1,4,91,12,103,0
55352,Prevent running change detection twice with run coalescing and zoneless,321,True,False,,2024-04-17T22:51:01Z,1,3,1,14,102,18,120,0
54751,feat(core): add HOST_TAG_NAME token,1074,True,False,,2024-04-17T22:50:33Z,9,7,3,6,176,1,177,0
55358,build: update github/codeql-action action to v3.25.0,730,True,False,,2024-04-17T16:02:52Z,1,3,1,1,1,1,2,0
55385,"Bump version to ""v18.0.0-next.5"" with changelog.",0,True,True,2024-04-17T15:55:10Z,2024-04-17T15:55:10Z,0,1,0,2,55,1,56,39.0
55384,docs: release notes for the v17.3.5 release,78,True,True,2024-04-17T15:49:41Z,2024-04-17T15:49:41Z,0,1,0,1,6,1,7,145.0
55382,"Bump version to ""v17.3.5"" with changelog.",0,True,True,2024-04-17T15:43:14Z,2024-04-17T15:43:14Z,0,1,0,2,6,1,7,195.0
55079,fix(core): establish proper injector resolution order for `@defer` blocks,466,True,False,,2024-03-28T16:23:44Z,1,5,4,3,99,8,107,0
55375,Api reference search angulardev,830,True,False,,2024-04-17T12:34:22Z,0,3,3,2,29,7,36,0
55351,refactor(core): Switch stopPropagation default to false,1264,True,False,,2024-04-17T09:29:41Z,5,5,2,3,176,387,563,0
55361,build: make JSA contract binary accessible,343,True,False,,2024-04-17T08:37:34Z,3,5,3,4,17,3,20,0
55302,refactor(common): remove deprecated `isPlatformWorkerApp` and `isPlatformWorkerUi` API,183,True,False,,2024-04-17T06:00:03Z,4,4,1,3,0,32,32,0
55325,refactor(core): Permit detectChanges with zoneless `ComponentFixture`,389,True,False,,2024-04-17T06:07:54Z,3,3,2,5,7,36,43,0
55102,Add zoneless scheduler to Angular by default,2765,True,False,,2024-04-17T00:27:11Z,3,4,2,7,32,21,53,0
55373,"Revert ""refactor(core): warn about duplicated keys when using built-i…",135,True,False,,2024-04-17T00:11:10Z,2,3,2,4,0,143,143,0
54904,build: update to latest angular/dev-infra/github-actions/create-pr-for-changes,46,True,False,,2024-03-17T00:41:33Z,1,3,3,1,1,1,2,0
55367,refactor(core): use patched timers in root zone for zoneless scheduler,665,True,False,,2024-04-16T23:31:21Z,1,3,1,2,12,12,24,0
55201,refactor(compiler-cli): include filepath for `DocEntry`,257,True,False,,2024-04-15T15:41:47Z,8,4,1,5,49,3,52,0
55329,feat(core): Add zoneless change detection provider as experimental,107,True,False,,2024-04-16T18:51:28Z,4,6,2,6,48,5,53,0
55290,Prevent extra change detections in zoneless scheduler with manual calls to ApplicationRef.tick,22,True,False,,2024-04-16T18:50:37Z,2,3,2,5,85,12,97,0
54222,fix(service-worker): avoid running CDs on `controllerchange`,422,True,False,,2024-04-16T15:30:02Z,1,4,3,1,14,8,22,0
54566,refactor(core): transform Predicate from interface to type,170,True,False,,2024-04-16T15:26:55Z,5,6,1,2,2,7,9,0
55342,fix(compiler): remove support for unassignable expressions in two-way bindings,716,True,False,,2024-04-16T15:26:11Z,3,3,3,6,94,302,396,0
55363,feat(common): add optional rounded transform support in cloudinary image loader,977,True,False,,2024-04-16T15:15:19Z,0,1,1,1,4,0,4,0
55323,feat(core): Modify EventType from an enum to an object.,847,True,False,,2024-04-16T13:36:48Z,2,3,2,1,46,44,90,0
55319,feat(core): Add build target for jsaction contract binary.,783,True,False,,2024-04-16T10:09:11Z,3,5,3,3,47,0,47,0
54412,build: update to node 20,59,True,False,,2024-04-16T09:00:48Z,4,3,1,7,33,15,48,0
55190,fix(compiler): remove container index from conditional instruction,110,True,False,,2024-04-16T08:23:33Z,1,2,1,20,36,53,89,0
